gene,ko_gene,log2fc,padj
RPS23,GLI3,-0.18764783844112642,0.0047961478721533675
SLC8A1,GLI3,0.49387695943149007,0.004974765224490696
UNC5D,GLI3,1.0995711987113608,0.005390272654978823
GPM6A,GLI3,0.18770217327660266,0.005706530846513402
NFIX,GLI3,-1.410505509246808,0.0058784435594308
DNM3,GLI3,0.4649131591584434,0.0060184972503600775
AL683813.1,GLI3,0.5840229398625055,0.006024068746795841
DPYSL3,GLI3,0.2511395761509907,0.006899306631463098
RIMS2,GLI3,0.6803871893501592,0.007114246935053359
ZSCAN18,GLI3,0.34552256508333756,0.007169099687136082
RPS19,GLI3,-0.21539570047540568,0.007237378628336412
KCNIP4,GLI3,0.9055710186929069,0.0076551815740169005
SEC62,GLI3,0.22117103244316838,0.007681169078285421
KCNF1,GLI3,0.6015202012305385,0.008013514443657499
RBFOX1,GLI3,0.7534156006217027,0.008061275509786192
CPEB4,GLI3,0.36006200806937727,0.008594512762675421
ZNF652,GLI3,0.42811738542727074,0.00860862605481838
BOD1L1,GLI3,0.25481336724829484,0.00863988220045897
RPS14,GLI3,-0.17606513808568458,0.009055059083404931
TET2,GLI3,0.5066521506982404,0.009438019164154987
PGM2L1,GLI3,0.3987082576680871,0.009780553534952219
PWAR6,GLI3,0.37330033908031773,0.010973856914557878
ATXN1,GLI3,0.4559776282634116,0.01166142291951111
RPS28,GLI3,-0.1824107520035838,0.01197840997916467
CSRP2,GLI3,-0.7952288582527008,0.012131388169659163
CDC42,GLI3,0.1792826356027204,0.012480628104190039
WNT7A,GLI3,0.5238207236129948,0.013204726671677491
FGFBP3,GLI3,-0.7237785968979096,0.013474016523740202
MFAP2,GLI3,-1.0880996865809645,0.013631667709953013
SMAP2,GLI3,0.3590093018521493,0.013642958439191055
RPSA,GLI3,-0.18486105223616045,0.01432908404256338
MAGI2,GLI3,0.4105012498413879,0.01439155692458094
TMEM97,GLI3,-0.5111183160838447,0.015146680549368123
RASAL2,GLI3,0.3980482565124946,0.015254769940137969
RPS3A,GLI3,-0.15440959875234572,0.015434484935980304
TUBA1B,GLI3,-0.3889257921414382,0.015800563861037325
LDHB,GLI3,-0.20290284911883294,0.015883232543659538
MT3,GLI3,0.6141340755474285,0.01596635261983259
RGN,GLI3,0.9832246747111499,0.01615701146064996
HINT1,GLI3,-0.16018480986596595,0.016478393287096698
DPYSL2,GLI3,0.20378976331921606,0.017723833003289613
RPL32,GLI3,-0.14913444540227871,0.019163678461553552
TMEM178B,GLI3,0.47374025789768326,0.019169325707792062
ERBB4,GLI3,0.738705433827278,0.019655845705784714
BEX4,GLI3,0.2114671350278643,0.020957654437302686
ARHGAP21,GLI3,0.24935679636606678,0.02221073393517603
GSTP1,GLI3,-0.24516230474785994,0.023271207134652812
PPM1K,GLI3,0.37680784860725586,0.025201633715458804
